vervallenConcept,vervallenConceptName
http://digitalbuildingdata.tech/nlcs/def/e23ac3b4-d5b8-4a91-aa49-2e5ac1c7cc2b,AVH-SPECIAAL
http://digitalbuildingdata.tech/nlcs/def/d9b93671-9093-4fc7-883b-ff583e94250d,V-VH-OPSLUITBAND_VARIANT01-SO
http://digitalbuildingdata.tech/nlcs/def/763269ab-e020-4ad4-9c60-54e0bbedefc7,V-SVH-TEGEL_300X300_DUN_BLOK_STIP_KL-SO
http://digitalbuildingdata.tech/nlcs/def/232eee62-41af-4299-8fb3-8c00b62d78c0,KEERWAND_DAMWAND_BETON
http://digitalbuildingdata.tech/nlcs/def/c4265bc5-16c7-4201-9da7-811919a367c9,KEERWAND_DAMWAND
http://digitalbuildingdata.tech/nlcs/def/cb86c8e1-95c7-45ab-85ad-e27310250a80,SVH-KANTOPSLUITING_ASFALTBAND_50X200X250-D
http://digitalbuildingdata.tech/nlcs/def/26006fed-d98b-4479-ab29-596b03b6fe99,SVH-KANTOPSLUITING_ROTONDE-D
http://digitalbuildingdata.tech/nlcs/def/94e317ed-96d6-4fa1-bc3d-f309856bd207,SIW-VRI
http://digitalbuildingdata.tech/nlcs/def/592af0d8-951f-4844-82c0-f8316e4384e8,B-SVH-KANTOPSLUITING_BUSHALTEBAND-D
http://digitalbuildingdata.tech/nlcs/def/d400d56b-4378-4655-846c-59e5de011030,SVH-KANTOPSLUITING_BUSHALTEBAND-D
http://digitalbuildingdata.tech/nlcs/def/4d38ebf0-8fef-4ef8-ba0e-75f3e4d3afc3,SIE-FIETSENKLUIS
http://digitalbuildingdata.tech/nlcs/def/ab956523-d83a-4c07-a016-75137e5edaca,SIE-LPG VULPUNT-SO
http://digitalbuildingdata.tech/nlcs/def/079cc6ed-41bb-406b-91fa-7418b849c9d8,SIE-LPG VULPUNT
http://digitalbuildingdata.tech/nlcs/def/99e80ab4-5fd3-4dd1-9888-5e3511c2d076,B-SVH-KANTOPSLUITING_GAZONBAND_50 150X70X500-D
http://digitalbuildingdata.tech/nlcs/def/a067e5fd-45f4-498d-bdcc-e162fa21d768,V-SVH-KALKZANDSTEEN-SO
http://digitalbuildingdata.tech/nlcs/def/7a30d2db-43f4-42bc-8b9b-2ad76d149cc5,SVH-KALKZANDSTEEN
http://digitalbuildingdata.tech/nlcs/def/7838b5a4-c572-4340-b3c7-b206fdb14e41,SRI-UITSTROOMBAK
http://digitalbuildingdata.tech/nlcs/def/69bb5bcc-db07-4859-9b49-0a889a1c95a1,SVH-GOOT_TEGEL-D
http://digitalbuildingdata.tech/nlcs/def/13f9a5f8-9d39-4032-ad69-0c49485d32e5,KOUDENET_AANSLUITLEIDING_AANVOER_PE
http://digitalbuildingdata.tech/nlcs/def/97b73926-064e-4791-8f87-32e31ae8c46b,SVH-KANTOPSLUITING_SIGNALERINGSBAND_OOG_110 220X160-D
http://digitalbuildingdata.tech/nlcs/def/8913f55b-313a-4cd6-8702-0e8dd12dca0c,V-SVW-MARKERING_STREEP_050050_020
http://digitalbuildingdata.tech/nlcs/def/7dd12a23-76d1-4899-98cd-d4f4a249641f,SVW-MARKERING_STREEP_050050_020
http://digitalbuildingdata.tech/nlcs/def/92a104f4-efc9-4213-a054-9124872ec8a7,SVH-TEGEL_150X300_DIK_HALFST_KL-SO
http://digitalbuildingdata.tech/nlcs/def/219d0415-3844-4c4e-a3f4-1a6a8acba6e9,KISTDAM_DAMWAND_BETON
http://digitalbuildingdata.tech/nlcs/def/b8ea0be4-4296-4534-bccf-01969d95e69c,V-SVH-TEGEL_400X400_LINT_STIP-SO
http://digitalbuildingdata.tech/nlcs/def/f04ede56-17f3-48fa-90f2-fa7d4c2a6dde,SVH-KANTOPSLUITING_GELEIDEBAND_250X240-D
http://digitalbuildingdata.tech/nlcs/def/7efadc4f-efe6-4afb-ae2b-d04ee1075d1a,SVH-KANTOPSLUITING_INRITBAND_200X600X300-D
http://digitalbuildingdata.tech/nlcs/def/1383ab09-d2d8-40b7-8bbb-1a7041cad464,AL-DETAILS-SO
http://digitalbuildingdata.tech/nlcs/def/1ffa173e-133b-439d-9522-610a8aad0507,SVW-VERKEERSTEKEN
http://digitalbuildingdata.tech/nlcs/def/da5de062-d9e7-4d9c-85df-5556624e8ca8,V-SVH-TEGEL_1000X1000_BLOK-SO
http://digitalbuildingdata.tech/nlcs/def/2b34ef22-b5ad-4992-a259-f9efd6961b6a,SGR-BOMENGROND_KL-SO
http://digitalbuildingdata.tech/nlcs/def/2050a9b2-fb22-4c53-a0d9-a41dd1012f82,SGR-BOMENGROND
http://digitalbuildingdata.tech/nlcs/def/064a8759-e5a7-47c0-8ed6-a3ff9dee555d,V-SVH-FUNDERING_EPS-SO
http://digitalbuildingdata.tech/nlcs/def/6a90af2e-ec80-4d48-8c5b-d73e4d297f95,ZZ-CENTER-SO
http://digitalbuildingdata.tech/nlcs/def/0f0a3aa3-d917-436d-9f68-85780a783726,SVW-MARKERING_STREEP_BLOK_050_050
http://digitalbuildingdata.tech/nlcs/def/80a53905-c67d-4aa2-85a0-b2ad59bdc36e,SVW-MARKERING_STREEP_11_010
http://digitalbuildingdata.tech/nlcs/def/6ccac727-9d04-4bf6-8ff2-f28d7f7e099c,V-SVW-MARKERING_STREEP_11_010
http://digitalbuildingdata.tech/nlcs/def/4de26001-58cb-4108-a019-5b8dd7fd7f68,V-SVW-MARKERING_STREEP_11_015
http://digitalbuildingdata.tech/nlcs/def/7bc170a8-9390-40aa-8d80-84b75c17fb19,SVW-MARKERING_STREEP_11_015
http://digitalbuildingdata.tech/nlcs/def/4e05433f-4ff6-4675-a3ed-4d099798d38e,SIE-MEUBILAIR
