objectURI,id_nummer,oudLaagnaam,nieuweLaagnaam
http://digitalbuildingdata.tech/nlcs/def/ed86f307-7b07-4208-b27a-ee69744a8793,614,*_**_KG_KADASTRAAL_DAKRAND-OPNIEUW STELLEN,*_**_KG_KADASTRAAL_DAKRAND
http://digitalbuildingdata.tech/nlcs/def/f5cd3f8f-3dfd-4c9a-aacb-3c1c19ec18d6,612,*_**_KG_KADASTRAAL_ROOILIJN-OPNIEUW STELLEN,*_**_KG_KADASTRAAL_ROOILIJN
http://digitalbuildingdata.tech/nlcs/def/30822bcb-2a5f-4d72-898e-1e7f5d9da3a8,613,*_**_KG_KADASTRAAL_BEBOUWING-OPNIEUW STELLEN,*_**_KG_KADASTRAAL_BEBOUWING
http://digitalbuildingdata.tech/nlcs/def/4b244363-de15-4478-a45e-8df99771cd43,597,*_**_KG_GRONDVERWERVING_ONTEIGENING-OPNIEUW STELLEN,*_**_KG_GRONDVERWERVING_ONTEIGENING
http://digitalbuildingdata.tech/nlcs/def/bae82127-49f7-4668-a116-80b167daf7a0,594,*_**_KG_GRONDVERWERVING_AANKOOP-OPNIEUW STELLEN,*_**_KG_GRONDVERWERVING_AANKOOP
http://digitalbuildingdata.tech/nlcs/def/29d8836c-5296-4dd4-895c-6f587ab1419b,595,*_**_KG_GRONDVERWERVING_VERKOOP-OPNIEUW STELLEN,*_**_KG_GRONDVERWERVING_VERKOOP
http://digitalbuildingdata.tech/nlcs/def/70988d58-8bba-42f2-99d8-9045e5bfa21a,582,*_**_KG_ONDERHOUDGRENS_PRORAIL-OPNIEUW STELLEN,*_**_KG_ONDERHOUDGRENS_PRORAIL
http://digitalbuildingdata.tech/nlcs/def/90163206-fb4d-4638-b724-3f4ced8dccd3,584,*_**_KG_ONDERHOUDGRENS_RIJK-OPNIEUW STELLEN,*_**_KG_ONDERHOUDGRENS_RIJK
http://digitalbuildingdata.tech/nlcs/def/49ed5747-164f-4ae5-ad40-3cb887e832cb,580,*_**_KG_ONDERHOUDGRENS_PROVINCIE-OPNIEUW STELLEN,*_**_KG_ONDERHOUDGRENS_PROVINCIE
http://digitalbuildingdata.tech/nlcs/def/adb63f02-32d0-458c-92a1-22042c36f250,583,*_**_KG_ONDERHOUDGRENS_WATERSCHAP-OPNIEUW STELLEN,*_**_KG_ONDERHOUDGRENS_WATERSCHAP
http://digitalbuildingdata.tech/nlcs/def/b8e69783-b414-40b3-b8f9-81baba3f721b,581,*_**_KG_ONDERHOUDGRENS_GEMEENTE-OPNIEUW STELLEN,*_**_KG_ONDERHOUDGRENS_GEMEENTE
http://digitalbuildingdata.tech/nlcs/def/9423bb27-e8c1-4a1c-a540-b3feee016314,600,*_**_KG_GRONDEIGENDOM_RIJK_VROM-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_RIJK_VROM
http://digitalbuildingdata.tech/nlcs/def/852d8000-6c3b-43ef-95ae-f66976f4e1bc,601,*_**_KG_GRONDEIGENDOM_RIJK_DEFENSIE-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_RIJK_DEFENSIE
http://digitalbuildingdata.tech/nlcs/def/971cb8ae-7195-4e63-9af8-02e97c00e7f8,604,*_**_KG_GRONDEIGENDOM_RIJK_FINANCIEN-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_RIJK_FINANCIEN
http://digitalbuildingdata.tech/nlcs/def/9261282f-bf63-4ecd-9b3f-f837062f337d,605,*_**_KG_GRONDEIGENDOM_RIJK_VENW-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_RIJK_VENW
http://digitalbuildingdata.tech/nlcs/def/5730ea21-3337-48d2-ab7a-05fc1718cc44,602,*_**_KG_GRONDEIGENDOM_RIJK_DOMEINEN-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_RIJK_DOMEINEN
http://digitalbuildingdata.tech/nlcs/def/2e459717-0200-4a53-82e8-49a6b87bfbc9,603,*_**_KG_GRONDEIGENDOM_RIJK_LANDBOUW-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM_RIJK_LANDBOUW
