"FASE","sBIB","SYMBOOL","SYMBOOL_alt","ID","opt","STATUS","VRKL_KORT","VRKL_LANG"
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X1000_LINKS","SVH:T-SVH-DREMPEL_PREFAB_1750X1000_LINK","2173","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X500_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_2400X500_RUITPROFIE","1146","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIE","1130","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_BUS","SVH:T-SVH-DREMPEL_PREFAB_BU","2196","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIE","2208","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X1000_RECHTS","SVH:B-SVH-DREMPEL_PREFAB_1750X1000_RECHT","1137","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_GUMACON","SVH:B-SVH-DREMPEL_PREFAB_GUMACO","3156","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINKS","SVH:T-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINK","2188","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_4000X500","SVH:T-SVH-DREMPEL_PREFAB_4000X50","2193","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1000X600","SVH:T-SVH-DREMPEL_PREFAB_1000X60","2160","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X1200","SVH:B-SVH-DREMPEL_PREFAB_2400X120","1143","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X500","SVH:T-SVH-DREMPEL_PREFAB_2400X50","2182","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X600","SVH:B-SVH-DREMPEL_PREFAB_1750X60","1140","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIE","1144","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X750_LINKS","SVH:T-SVH-DREMPEL_PREFAB_2400X750_LINK","2186","","*","",""
