"lijnkleurURI,""id"",""fase"",""nummer"",""hex"",""R"",""G"",""B"",""optie"""
"http://digitalbuildingdata.tech/nlcs/def/e0dfe383-6383-4274-8dac-f200cf739e8a,""196"",""16"",""96"",""#006800"",""0"",""104"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/85d726c9-c0f0-4a9b-b380-4e87bec4a88d,""197"",""17"",""97"",""#456845"",""69"",""104"",""69"","""""
"http://digitalbuildingdata.tech/nlcs/def/41603c69-1544-49c4-8809-fe052e201c56,""198"",""18"",""98"",""#004F00"",""0"",""79"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/5bded9d4-954f-4a17-93c7-d6b0c11a242e,""199"",""19"",""99"",""#354F35"",""53"",""79"",""53"","""""
"http://digitalbuildingdata.tech/nlcs/def/b850efeb-a289-4680-9ca9-17f49d027d57,""200"",""10"",""100"",""#00FF3F"",""0"",""255"",""63"","""""
"http://digitalbuildingdata.tech/nlcs/def/54c28d2b-071e-4960-9bf4-452249499902,""201"",""11"",""101"",""#AAFFBF"",""170"",""255"",""191"","""""
"http://digitalbuildingdata.tech/nlcs/def/30a156a9-defa-4f95-aae5-d8ebba2320f0,""202"",""12"",""102"",""#00BD2E"",""0"",""189"",""46"","""""
"http://digitalbuildingdata.tech/nlcs/def/312eab1a-7b84-453f-9016-3e66006072ea,""203"",""13"",""103"",""#7EBD8D"",""126"",""189"",""141"","""""
"http://digitalbuildingdata.tech/nlcs/def/fe8ce245-e976-43e6-9225-f6ba2f5a3f1b,""204"",""14"",""104"",""#00811F"",""0"",""129"",""31"","""""
"http://digitalbuildingdata.tech/nlcs/def/cd9ded2d-333f-4016-8983-e8ab836d33fd,""205"",""15"",""105"",""#568160"",""86"",""129"",""96"","""""
"http://digitalbuildingdata.tech/nlcs/def/d63c8c15-349f-4498-b4b6-cfbaa8a0fd7b,""206"",""16"",""106"",""#006819"",""0"",""104"",""25"","""""
"http://digitalbuildingdata.tech/nlcs/def/22ee87a6-ffc7-4486-b81b-23f8cb857129,""207"",""17"",""107"",""#45684E"",""69"",""104"",""78"","""""
"http://digitalbuildingdata.tech/nlcs/def/2b04801f-de56-4422-be41-ab46d0d39549,""208"",""18"",""108"",""#004F13"",""0"",""79"",""19"","""""
"http://digitalbuildingdata.tech/nlcs/def/cf20ef95-ffd6-4c65-84c7-100a16c12afd,""209"",""19"",""109"",""#354F3B"",""53"",""79"",""59"","""""
"http://digitalbuildingdata.tech/nlcs/def/f34d9353-06e9-4c04-ac13-3a50aa1a4415,""210"",""10"",""110"",""#00FF7F"",""0"",""255"",""127"","""""
"http://digitalbuildingdata.tech/nlcs/def/367df4d2-cf02-46bf-b91f-83fb47595371,""211"",""11"",""111"",""#AAFFD4"",""170"",""255"",""212"","""""
"http://digitalbuildingdata.tech/nlcs/def/1d1f3735-1648-4427-b24f-3c63916a530e,""212"",""12"",""112"",""#00BD5E"",""0"",""189"",""94"","""""
"http://digitalbuildingdata.tech/nlcs/def/e0168c3b-ed7e-4884-8ac4-30730c835ffa,""213"",""13"",""113"",""#7EBD9D"",""126"",""189"",""157"","""""
"http://digitalbuildingdata.tech/nlcs/def/fe49fb4c-4116-4bfc-9dad-0273d72ca01d,""214"",""14"",""114"",""#008140"",""0"",""129"",""64"","""""
"http://digitalbuildingdata.tech/nlcs/def/9a61a4f1-fb97-4cbe-9e01-86116a333731,""215"",""15"",""115"",""#56816B"",""86"",""129"",""107"","""""
"http://digitalbuildingdata.tech/nlcs/def/96d62b98-b22a-47df-8a5f-8767f27d322b,""216"",""16"",""116"",""#006834"",""0"",""104"",""52"","""""
"http://digitalbuildingdata.tech/nlcs/def/b4ad1289-b64e-4351-84d3-a3e41f72d7ed,""217"",""17"",""117"",""#456856"",""69"",""104"",""86"","""""
"http://digitalbuildingdata.tech/nlcs/def/f88f6779-ae7b-4db0-b93e-bbb55a2241c4,""218"",""18"",""118"",""#004F27"",""0"",""79"",""39"","""""
"http://digitalbuildingdata.tech/nlcs/def/35be6542-2970-470e-b271-59967e873571,""219"",""19"",""119"",""#354F42"",""53"",""79"",""66"","""""
"http://digitalbuildingdata.tech/nlcs/def/a9b7c422-a764-42bf-992a-d9780b2e8602,""220"",""10"",""120"",""#00FFBF"",""0"",""255"",""191"","""""
"http://digitalbuildingdata.tech/nlcs/def/f3171fb6-3199-442f-8184-25b1769f298a,""221"",""11"",""121"",""#AAFFEA"",""170"",""255"",""234"","""""
"http://digitalbuildingdata.tech/nlcs/def/8a0815f5-31ee-450d-add2-728c8faf31f7,""222"",""12"",""122"",""#00BD8D"",""0"",""189"",""141"","""""
"http://digitalbuildingdata.tech/nlcs/def/17721b40-7ed3-457a-b15f-84f93eb5719d,""223"",""13"",""123"",""#7EBDAD"",""126"",""189"",""173"","""""
"http://digitalbuildingdata.tech/nlcs/def/88df483b-1676-42da-b06a-2ee3da8f67c7,""224"",""14"",""124"",""#008160"",""0"",""129"",""96"","""""
"http://digitalbuildingdata.tech/nlcs/def/e10f07d7-6d00-4cea-a77a-ec5380ded005,""225"",""15"",""125"",""#568176"",""86"",""129"",""118"","""""
"http://digitalbuildingdata.tech/nlcs/def/ba0a98b5-faf7-4e7a-89e3-7b4a19d695ae,""226"",""16"",""126"",""#00684E"",""0"",""104"",""78"","""""
"http://digitalbuildingdata.tech/nlcs/def/3b8719c8-2ac0-440b-a575-1886c2aa18b1,""227"",""17"",""127"",""#45685F"",""69"",""104"",""95"","""""
"http://digitalbuildingdata.tech/nlcs/def/29eadc67-a093-4c48-8b00-33806c2b0358,""228"",""18"",""128"",""#004F3B"",""0"",""79"",""59"","""""
"http://digitalbuildingdata.tech/nlcs/def/53405b96-756c-4162-a469-11ecf4d6ee30,""229"",""19"",""129"",""#354F49"",""53"",""79"",""73"","""""
"http://digitalbuildingdata.tech/nlcs/def/c1457843-d071-4dec-a735-2b5d29cf8717,""230"",""10"",""130"",""#00FFFF"",""0"",""255"",""255"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/1b23efb0-5109-4e8e-8cbf-0fbb58d29e75,""231"",""11"",""131"",""#AAFFFF"",""170"",""255"",""255"","""""
"http://digitalbuildingdata.tech/nlcs/def/11b59ca3-8808-4424-8c21-81bb104f57fd,""232"",""12"",""132"",""#00BDBD"",""0"",""189"",""189"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/b95b8cd3-5123-46ce-88bc-4f5b1a75913e,""233"",""13"",""133"",""#7EBDBD"",""126"",""189"",""189"","""""
"http://digitalbuildingdata.tech/nlcs/def/73bd53b7-7f6f-465f-b88d-c19afee1c66f,""234"",""14"",""134"",""#008181"",""0"",""129"",""129"","""""
"http://digitalbuildingdata.tech/nlcs/def/4f67eee5-cba3-4e4e-a66b-73ba21489799,""235"",""15"",""135"",""#568181"",""86"",""129"",""129"","""""
"http://digitalbuildingdata.tech/nlcs/def/16cf3477-19a6-439d-a84e-34bad68d9c1d,""236"",""16"",""136"",""#006868"",""0"",""104"",""104"","""""
"http://digitalbuildingdata.tech/nlcs/def/d3e69a96-83f7-4a2b-8542-521cf36bfb71,""237"",""17"",""137"",""#456868"",""69"",""104"",""104"","""""
"http://digitalbuildingdata.tech/nlcs/def/642d879d-1697-4110-b35a-8759d508704b,""238"",""18"",""138"",""#004F4F"",""0"",""79"",""79"","""""
"http://digitalbuildingdata.tech/nlcs/def/184c312f-e0ab-43bf-ba2b-7573305cbb22,""239"",""19"",""139"",""#354F4F"",""53"",""79"",""79"","""""
"http://digitalbuildingdata.tech/nlcs/def/965f6bed-a894-4d35-974b-672a44fee398,""240"",""10"",""140"",""#00BFFF"",""0"",""191"",""255"","""""
