nlcs_term;nlcs_name
http://digitalbuildingdata.tech/nlcs/term/f9d56f28-0cf5-4265-8e8f-51b1eebcc268;VOLLEGRONDTEELT
http://digitalbuildingdata.tech/nlcs/term/f5f554fd-f353-4317-8b02-58c6f6166015;WEERSTATION
http://digitalbuildingdata.tech/nlcs/term/bad94743-0aea-4c3e-b340-32b66057ea34;FAUNATUNNEL
http://digitalbuildingdata.tech/nlcs/term/0d476645-1213-4f42-bd09-432232fc329d;CAMERA
http://digitalbuildingdata.tech/nlcs/term/a6a14d8d-5cba-436c-9611-0c4f52006599;STOBBENWAL
http://digitalbuildingdata.tech/nlcs/term/0f78607c-9249-4380-a06c-a99b107bbecb;ZAND
http://digitalbuildingdata.tech/nlcs/term/0f78607c-9249-4380-a06c-a99b107bbecb;ZAND
http://digitalbuildingdata.tech/nlcs/term/714964a0-177b-4253-9db6-aa38be159a44;BETONNING
http://digitalbuildingdata.tech/nlcs/term/bcbcdb18-6613-4f60-8660-7ac0dd041ff0;TYPEAANDUIDING
http://digitalbuildingdata.tech/nlcs/term/cf2b1b68-e59c-4551-a8b2-b9ccb2973d00;DUKDALF
http://digitalbuildingdata.tech/nlcs/term/0e1ef0fd-a9b1-4bc5-85a8-dc55e4b4d92b;BOOMKRANSBAND
http://digitalbuildingdata.tech/nlcs/term/c78e7a8c-85d5-48b1-863a-753dd3139ffb;GRANULAAT
http://digitalbuildingdata.tech/nlcs/term/64b3a4f8-ca64-45ed-a731-4d01c29b68ff;MUUR
http://digitalbuildingdata.tech/nlcs/term/3ae281a8-3b41-44b4-8af6-ff4a4a1233e6;HSTEEN
http://digitalbuildingdata.tech/nlcs/term/3ae281a8-3b41-44b4-8af6-ff4a4a1233e6;HSTEEN
http://digitalbuildingdata.tech/nlcs/term/d519985b-78a7-4310-a2b1-69036076fdc8;BOOMBRUG
http://digitalbuildingdata.tech/nlcs/term/c0e941c0-cd83-4e36-ab29-e05b2b5bd203;ANTENNE
http://digitalbuildingdata.tech/nlcs/term/fab6eab5-e53c-4173-99c7-6c674af2f781;SPEELTOESTEL
http://digitalbuildingdata.tech/nlcs/term/98e34491-7ad7-4ee0-a9cf-76858d35225f;BALLENVANGER
http://digitalbuildingdata.tech/nlcs/term/d3309cc2-7af8-4e23-867b-0379cbde7dc4;ONDERLAAG
http://digitalbuildingdata.tech/nlcs/term/de1bc371-a643-47ea-93ad-cb969df6ae6d;HOPOVER
http://digitalbuildingdata.tech/nlcs/term/6d0c52ab-716b-4ad2-b3a3-1dcf3b014ba6;SCHUTTING
http://digitalbuildingdata.tech/nlcs/term/4301a78d-f170-4116-8bfc-6cd5ddfbc720;MEUBILAIR
http://digitalbuildingdata.tech/nlcs/term/55cc383b-f0b2-4ab2-8793-1a4caf009dd3;HALFVERHARDING
http://digitalbuildingdata.tech/nlcs/term/84ba3200-5b82-430b-bc76-a3d35aeac341;RUBBER
http://digitalbuildingdata.tech/nlcs/term/b3114060-28d6-42d6-b74c-ed058aa6148f;WEGWIJZER
http://digitalbuildingdata.tech/nlcs/term/888fa72d-3cd5-49de-b817-904b52cb489d;SLOOF
http://digitalbuildingdata.tech/nlcs/term/60a2c53b-7dc4-4596-8b71-f73d04fa1bf6;SCHUIMBETON
http://digitalbuildingdata.tech/nlcs/term/e27738bf-cac6-45a5-850f-57516ab5c368;EENJARIGEPLANT
http://digitalbuildingdata.tech/nlcs/term/57adf000-3964-47d1-87e3-da3868c9952d;KEERSLUIS
http://digitalbuildingdata.tech/nlcs/term/cd2daee5-adaf-4133-b6ed-08bd57af365d;HEIDE
http://digitalbuildingdata.tech/nlcs/term/5fe9aa9f-dd02-4c15-8ec1-089be6c76ad3;OPENBAARTOILET
http://digitalbuildingdata.tech/nlcs/term/37aaa412-b35c-4354-8dec-39354a6d70a5;GRASBETONSTEEN
http://digitalbuildingdata.tech/nlcs/term/37aaa412-b35c-4354-8dec-39354a6d70a5;GRASBETONSTEEN
http://digitalbuildingdata.tech/nlcs/term/5b871c7d-14c6-4753-a816-ff0ea5b6c795;ECODUCT
http://digitalbuildingdata.tech/nlcs/term/73b8041e-2acd-4879-8b4e-c7a812c76251;ATLETIEKBAAN
http://digitalbuildingdata.tech/nlcs/term/62fea0e0-3c78-4220-a81b-581a17e76aba;WIT
http://digitalbuildingdata.tech/nlcs/term/b9daf3e1-1495-497e-b40e-a6c9acb85146;BRAAKLIGGEND
http://digitalbuildingdata.tech/nlcs/term/b8198e5f-25d5-4781-ad40-a786a6f39de6;VAARGEBIED
http://digitalbuildingdata.tech/nlcs/term/87d3e35a-eff1-4667-8a6f-3a831e5d57b8;INRITBAND
http://digitalbuildingdata.tech/nlcs/term/d1d36a9f-4836-44aa-aa8d-c70464f5a4ad;VERKEERSTEKEN
http://digitalbuildingdata.tech/nlcs/term/16b6e71a-67fb-4190-aa6a-52cd0ff70fde;ECOLOGISCHEVERBINDINGSZONE
http://digitalbuildingdata.tech/nlcs/term/5a07739b-a64a-4a25-88d2-0ee82df390fd;BOOMKRANS
http://digitalbuildingdata.tech/nlcs/term/6de6fbab-0973-4080-b23d-0bc2d977a174;GESLOTEN VEGETATIE
http://digitalbuildingdata.tech/nlcs/term/dfd9b87b-d13f-4a9f-993c-b092374971a7;WATERSTANDMETER
http://digitalbuildingdata.tech/nlcs/term/dd300530-1042-4a27-bbbb-a84c1bbe973f;COUPURE
http://digitalbuildingdata.tech/nlcs/term/553057a7-7d88-4994-b88a-987332131c86;BORD
http://digitalbuildingdata.tech/nlcs/term/888a0cd5-ba4a-40af-a040-082e4b77dc9a;KUNSTWERK
http://digitalbuildingdata.tech/nlcs/term/2b8bb7f7-9dc3-4f57-81bd-603cea88bc34;DOORGANG
http://digitalbuildingdata.tech/nlcs/term/22b0b58c-ca42-47c1-8b40-f41b8c52fa00;VLAGGENMAST
http://digitalbuildingdata.tech/nlcs/term/0c2547e4-b2f6-46eb-8225-b1ed7c112365;WILDROOSTER
http://digitalbuildingdata.tech/nlcs/term/4e31c228-4461-4486-85a8-57ba87a72823;HOUT
http://digitalbuildingdata.tech/nlcs/term/31b7b749-1360-42ea-a8eb-e5a1f66a9d3a;ASFALT
http://digitalbuildingdata.tech/nlcs/term/3d42d39a-b2e0-4f6d-a9a4-f5b4b1895442;TROTTOIRBAND
http://digitalbuildingdata.tech/nlcs/term/64e79ef2-f386-4440-a552-f0222e68fdc8;STRUWEEL
