searchterm,symboolURI,id,sbibliotheek,sbibliotheekURI,fase,symbool,finalCleanName,optie,fileURL
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/095e17a7-d338-4086-bff3-3520368aaa1d,3,SAL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1e02896a-657e-4b98-8558-746485c91f82,,SAL-TEKENBLAD_A0_841X1260-SOMM,SAL-TEKENBLAD_A0_841X1260,SOMM,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SAL/SAL-TEKENBLAD_A0_841X1260-SOMM.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7785c70b-b50a-4d9a-b03a-2e017f9345e8,30,SAL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1e02896a-657e-4b98-8558-746485c91f82,,SAL-TEKENBLAD_A3_297X1050-SOMM,SAL-TEKENBLAD_A3_297X1050,SOMM,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SAL/SAL-TEKENBLAD_A3_297X1050-SOMM.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/81d4b350-caab-4711-87bc-7527a3da411c,300,SGC,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/80b3e885-4b3c-4a66-9134-e2d506fe735a,,SGC-DAMWAND_STAAL_ARCELOR_PU28_600-MM,SGC-DAMWAND_STAAL_ARCELOR_PU28_600,MM,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGC/SGC-DAMWAND_STAAL_ARCELOR_PU28_600-MM.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/81bd965d-e4a0-4847-b17d-bd43c5d4886d,3002,SAL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1e02896a-657e-4b98-8558-746485c91f82,,SAL-TEKENBLAD_AANSLUITING_ANDER_BLAD-SO,SAL-TEKENBLAD_AANSLUITING_ANDER_BLAD,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SAL/SAL-TEKENBLAD_AANSLUITING_ANDER_BLAD-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a2b37c0b-eb3a-4c24-be6f-31973f1069ab,3003,SAL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1e02896a-657e-4b98-8558-746485c91f82,,SAL-TEKENBLAD_AANSLUITING_ZELFDE_BLAD-SO,SAL-TEKENBLAD_AANSLUITING_ZELFDE_BLAD,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SAL/SAL-TEKENBLAD_AANSLUITING_ZELFDE_BLAD-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9eba12db-8407-4a0b-9d76-a6d9aa93a278,3004,SAL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1e02896a-657e-4b98-8558-746485c91f82,B,B-SAL-VERWIJZING_MATERIAALNUMMER-SO,SAL-VERWIJZING_MATERIAALNUMMER,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SAL/B-SAL-VERWIJZING_MATERIAALNUMMER-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ab6dccd9-408b-427a-831d-d2804b2cad2f,3005,SAL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1e02896a-657e-4b98-8558-746485c91f82,,SAL-VERWIJZING_MATERIAALNUMMER_HERSTRATEN-SO,SAL-VERWIJZING_MATERIAALNUMMER_HERSTRATEN,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SAL/SAL-VERWIJZING_MATERIAALNUMMER_HERSTRATEN-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ab4ffdbd-0cfc-4caa-8ab6-5b3e7972cc09,301,SGC,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/80b3e885-4b3c-4a66-9134-e2d506fe735a,,SGC-DAMWAND_STAAL_ARCELOR_PU32_600-MM,SGC-DAMWAND_STAAL_ARCELOR_PU32_600,MM,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGC/SGC-DAMWAND_STAAL_ARCELOR_PU32_600-MM.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8a5ed5fa-3b92-456a-9cd6-8e896ddc5791,302,SGC,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/80b3e885-4b3c-4a66-9134-e2d506fe735a,,SGC-DAMWAND_STAAL_ARCELOR_PU8R_600-MM,SGC-DAMWAND_STAAL_ARCELOR_PU8R_600,MM,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGC/SGC-DAMWAND_STAAL_ARCELOR_PU8R_600-MM.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e4c18a4f-4807-44c6-85ae-c5c72bbfc6af,3027,SBV,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3543855c-7623-4ecd-aadf-5ec5b6d0cf9a,,SBV-LEUNING_SIER900-DMM,SBV-LEUNING_SIER900,DMM,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SBV/SBV-LEUNING_SIER900-DMM.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/dbdb3cb2-f97b-497b-bffb-8259fa4de132,303,SGC,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/80b3e885-4b3c-4a66-9134-e2d506fe735a,,SGC-DAMWAND_STAAL_ARCELOR_PU9R_600-MM,SGC-DAMWAND_STAAL_ARCELOR_PU9R_600,MM,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGC/SGC-DAMWAND_STAAL_ARCELOR_PU9R_600-MM.dwg
