sbibliotheek,symbool,fase,id,optie,fileURL
SIE,V-SIE-MEUBILAIR_SENSOR_RADARDETECTOR-SO,,4287,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_SENSOR_RADARDETECTOR-SO.dwg
SIE,V-SIE-MEUBILAIR_SENSOR_WATERSTANDMETER-SO,,4288,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_SENSOR_WATERSTANDMETER-SO.dwg
SIE,V-SIE-MEUBILAIR_SENSOR_WEERSTATION-SO,,4289,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_SENSOR_WEERSTATION-SO.dwg
SIE,V-SIE-MEUBILAIR_SENSOR_WINDMETER-SO,,4290,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_SENSOR_WINDMETER-SO.dwg
SIE,V-SIE-MEUBILAIR_SENSOR-SO,,4291,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_SENSOR-SO.dwg
SIE,V-SIE-MEUBILAIR_WATERPOMP-SO,,4292,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_WATERPOMP-SO.dwg
SIE,V-SIE-MEUBILAIR_ZITBANK-SO,,4293,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_ZITBANK-SO.dwg
SIS,SIS-INSTALLATIEKAST_VOEDING-SO,,4347,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/SIS-INSTALLATIEKAST_VOEDING-SO.dwg
SIS,V-SIS-BORD_501,,4410,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_501.dwg
SIS,V-SIS-BORD_502,,4411,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_502.dwg
SIS,V-SIS-BORD_503,,4412,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_503.dwg
SIS,V-SIS-BORD_504,,4413,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_504.dwg
SIS,V-SIS-BORD_602,,4414,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_602.dwg
SIS,V-SIS-BORD_603,,4415,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_603.dwg
SIS,V-SIS-BORD_606,,4416,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_606.dwg
SIS,V-SIS-BORD_607,,4417,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_607.dwg
SIS,V-SIS-BORD_610,,4418,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_610.dwg
SIS,V-SIS-BORD_611,,4419,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_611.dwg
SIS,V-SIS-BORD_702,,4420,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_702.dwg
SIS,V-SIS-BORD_703,,4421,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_703.dwg
SIS,V-SIS-BORD_901_AVENIO,,4422,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_901_AVENIO.dwg
SIS,V-SIS-BORD_901_AVENIO_REGIOCITADIS,,4423,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_901_AVENIO_REGIOCITADIS.dwg
SIS,V-SIS-BORD_901_GTL8,,4424,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_901_GTL8.dwg
SIS,V-SIS-BORD_901_REGIOCITADIS,,4425,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_901_REGIOCITADIS.dwg
SIS,V-SIS-BORD_902_AVENIO,,4426,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIS/V-SIS-BORD_902_AVENIO.dwg
