name;hoofdNames;topNames;numUri
WINDWAARSCHUWINGSSYSTEEM;KL;NLCS-object;1
WIM;KL;NLCS-object;1
WARMTEOPSLAGSYSTEEM;KL;NLCS-object;1
KOUDENET;KL;NLCS-object;1
TRANSMISSIE;KL;NLCS-object;1
FILEMELDSYSTEEM;KL;NLCS-object;1
MANTELBUIS;KL;NLCS-object;1
MONITORING;KL;NLCS-object;1
GMS;KL;NLCS-object;1
TDI;KL;NLCS-object;1
POMP;KL;NLCS-object;1
KOUDEOPSLAGSYSTEEM;KL;NLCS-object;1
HOOGTEDETECTIE;KL;NLCS-object;1
VS;KL;NLCS-object;1
STROOK;KL;NLCS-object;1
KATHODISCHE BESCHERMING;KL;NLCS-object;1
KABELKOKER;KL;NLCS-object;1
BRANDSTOF_HULPSTUK;KL;NLCS-object;1
BRANDSTOF_LOCATIEPAAL;KL;NLCS-object;1
BRANDSTOF_VULPUNT;KL;NLCS-object;1
BRANDSTOF_MANTELBUIS;KL;NLCS-object;1
BRANDSTOF_TRANSPORTLEIDING;KL;NLCS-object;1
BRANDSTOF_TANK;KL;NLCS-object;1
BRANDSTOF_PUT;KL;NLCS-object;1
WARMTENET_AANSLUITLEIDING;KL;NLCS-object;1
WARMTENET_BRONPUT;KL;NLCS-object;1
WARMTENET_MANTELBUIS;KL;NLCS-object;1
WARMTENET_LOCATIEPAAL;KL;NLCS-object;1
WARMTENET_REDUCTIESTUK_SPP;KL;NLCS-object;1
WARMTENET_RETOUR_SPP;KL;NLCS-object;1
WARMTENET_ELEKTROBANDMOF;KL;NLCS-object;1
WARMTENET_T STUK_SPP;KL;NLCS-object;1
WARMTENET_BOCHT_SPP_Z;KL;NLCS-object;1
WARMTENET_BOCHT_SPP_90GR;KL;NLCS-object;1
WARMTENET_AFSLUITER_SPP;KL;NLCS-object;1
WARMTENET_BOCHT_SPP_45GR;KL;NLCS-object;1
WARMTENET_BRONLEIDING_PE;KL;NLCS-object;1
WARMTENET_BOCHT_SPP_15GR;KL;NLCS-object;1
WARMTENET_SLUITMOF;KL;NLCS-object;1
WARMTENET_BOCHT_SPP_HIP;KL;NLCS-object;1
WARMTENET_AANVOER_SPP;KL;NLCS-object;1
WARMTENET_ALGEMEEN;KL;NLCS-object;1
WARMTENET_REDUCTIESTUK_LASVERLOOP;KL;NLCS-object;1
WARMTENET_KRIMPMOF_2V;KL;NLCS-object;1
WARMTENET_KRIMPMOF_3V;KL;NLCS-object;1
WARMTENET_EINDKAP_SPP;KL;NLCS-object;1
WARMTENET_RETOUR_SPP_HAS;KL;NLCS-object;1
WARMTENET_AANVOER_SPP_HAS;KL;NLCS-object;1
WARMTENET_REDUCTIEMOF;KL;NLCS-object;1
WARMTENET_COMPONENT;KL;NLCS-object;1
CHEMIE_MANTELBUIS;KL;NLCS-object;1
CHEMIE_LOCATIEPAAL;KL;NLCS-object;1
CHEMIE_PUT;KL;NLCS-object;1
CHEMIE_AFSLUITER;KL;NLCS-object;1
CHEMIE_HULPSTUK;KL;NLCS-object;1
CHEMIE_LEIDING;KL;NLCS-object;1
CCTV_KABEL;KL;NLCS-object;1
WATER_HUISAANSLUITING;KL;NLCS-object;1
WATER_HULPSTUK;KL;NLCS-object;1
WATER_BEREGENING;KL;NLCS-object;1
WATER_BRANDLEIDING;KL;NLCS-object;1
WATER_PUT;KL;NLCS-object;1
WATER_INKOOPPUNT;KL;NLCS-object;1
WATER_TRANSPORTLEIDING;KL;NLCS-object;1
WATER_MANTELBUIS;KL;NLCS-object;1
WATER_OOGDOUCHE;KL;NLCS-object;1
WATER_WATERBRON;KL;NLCS-object;1
WATER_STRAATPOT;KL;NLCS-object;1
WATER_LOCATIEPAAL;KL;NLCS-object;1
VEVA_KABEL;KL;NLCS-object;1
TELPUNT_KABEL;KL;NLCS-object;1
TELPUNT_TELKAST;KL;NLCS-object;1
GAS_LOKATIEPAAL;KL;NLCS-object;1
GAS_PUT;KL;NLCS-object;1
GAS_HD;KL;NLCS-object;1
GAS_LD;KL;NLCS-object;1
GAS_MANTELBUIS;KL;NLCS-object;1
GAS_HULPSTUK;KL;NLCS-object;1
GAS_STATION;KL;NLCS-object;1
GAS_INKOOPPUNT;KL;NLCS-object;1
GAS_TERREINKAST;KL;NLCS-object;1
DATA_SIGNAALKABEL;KL;NLCS-object;1
DATA_WAN;KL;NLCS-object;1
DATA_DEFENSIE;KL;NLCS-object;1
DATA_STUURKABEL;KL;NLCS-object;1
DATA_ZENDMAST;KL;NLCS-object;1
DATA_RESERVE;KL;NLCS-object;1
DATA_KAST;KL;NLCS-object;1
DATA_TELECOM;KL;NLCS-object;1
DATA_KABELBUNDEL;KL;NLCS-object;1
DATA_GLASVEZEL;KL;NLCS-object;1
DATA_MANTELBUIS;KL;NLCS-object;1
DATA_KABELROL;KL;NLCS-object;1
DATA_TELPAAL;KL;NLCS-object;1
DATA_KABELKOKER;KL;NLCS-object;1
DATA_SIGNAALGEVER;KL;NLCS-object;1
DATA_KABELNUMMER;KL;NLCS-object;1
DATA_INTERCOM;KL;NLCS-object;1
DATA_LOZE LEIDING;KL;NLCS-object;1
DATA_CAI;KL;NLCS-object;1
DATA_RADARMAST;KL;NLCS-object;1
DATA_HULPSTUK;KL;NLCS-object;1
DATA_STRAALZENDER;KL;NLCS-object;1
DATA_KABELGOOT;KL;NLCS-object;1
AFSLUITINSTALLATIE_KABEL;KL;NLCS-object;1
UWKS_KABEL;KL;NLCS-object;1
SCHEMA_RASTERINDELING;KL;NLCS-object;1
SCHEMA_VOEDINGSLIJN;KL;NLCS-object;1
SCHEMA_MECHANISCHEKOPPELING;KL;NLCS-object;1
SCHEMA_GOOT;KL;NLCS-object;1
SCHEMA_KABEL;KL;NLCS-object;1
SCHEMA_KLEMMENSTROOK;KL;NLCS-object;1
SCHEMA_BEHUIZING;KL;NLCS-object;1
SCHEMA_AARDRAIL;KL;NLCS-object;1
SCHEMA_COMPONENT;KL;NLCS-object;1
SCHEMA_DIAGRAM;KL;NLCS-object;1
BEWEGWIJZERING_KABEL;KL;NLCS-object;1
ET_MS;KL;NLCS-object;1
ET_LS;KL;NLCS-object;1
ET_HS;KL;NLCS-object;1
ET_ZHS;KL;NLCS-object;1
ET_AARDING;KL;NLCS-object;1
ET_DVM;KL;NLCS-object;1
ET_HULPSTUK;KL;NLCS-object;1
ET_LOZE LEIDING;KL;NLCS-object;1
ET_MANTELBUIS;KL;NLCS-object;1
ET_LICHTGEVOELIGE CEL;KL;NLCS-object;1
TRACE_WENSTRACE;KL;NLCS-object;1
TRACE_HARTLIJN;KL;NLCS-object;1
OLIE_HULPSTUK;KL;NLCS-object;1
OLIE_MANTELBUIS;KL;NLCS-object;1
OLIE_PUT;KL;NLCS-object;1
OLIE_LOCATIEPAAL;KL;NLCS-object;1
OLIE_LEIDING;KL;NLCS-object;1
OLIE_AFSLUITER;KL;NLCS-object;1
CV_HUISAANSLUITING;KL;NLCS-object;1
CV_LOCATIEPAAL;KL;NLCS-object;1
CV_HULPSTUK;KL;NLCS-object;1
CV_TRANSPORTLEIDING;KL;NLCS-object;1
CV_PUT;KL;NLCS-object;1
CV_MANTELBUIS;KL;NLCS-object;1
WINDWAARSCHUWINGSSYSTEEM_KABEL;KL;NLCS-object;1
WIM_KABEL;KL;NLCS-object;1
KOUDENET_BRONPUT;KL;NLCS-object;1
KOUDENET_MANTELBUIS;KL;NLCS-object;1
KOUDENET_LOCATIEPAAL;KL;NLCS-object;1
KOUDENET_RETOUR_PE;KL;NLCS-object;1
KOUDENET_BRONLEIDING_PE;KL;NLCS-object;1
KOUDENET_ALGEMEEN;KL;NLCS-object;1
KOUDENET_AANVOER_PE;KL;NLCS-object;1
KOUDENET_COMPONENT;KL;NLCS-object;1
TRANSMISSIE_KABEL;KL;NLCS-object;1
FILEMELDSYSTEEM_KABEL;KL;NLCS-object;1
MANTELBUIS_STAAL;KL;NLCS-object;1
MANTELBUIS_PE;KL;NLCS-object;1
MANTELBUIS_PVC;KL;NLCS-object;1
MANTELBUIS_PUT;KL;NLCS-object;1
MONITORING_KABEL;KL;NLCS-object;1
GMS_KABEL;KL;NLCS-object;1
TDI_KABEL;KL;NLCS-object;1
