number,title,state,labels,milestone,release_notes
331,nieuwe hoofdgroep Energievoorziening Spoor (ES) ,CLOSED,Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
332,Motie voor mijden van 'OVERIG' in NLCS-laagnamen,CLOSED,laagnamen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
333,NLCS-IMBOR projectie: AL,CLOSED,IMBOR; AL - Algemeen,Alignment NLCS-IMBOR​,
334,NLCS-IMBOR projectie: AM,OPEN,IMBOR; AM assen en metrering,Alignment NLCS-IMBOR​,
335,NLCS-IMBOR projectie: BC,CLOSED,BC betonconstructies; IMBOR,Alignment NLCS-IMBOR​,
336,NLCS-IMBOR projectie: BV,OPEN,IMBOR; BV bermbeveiligingsvoorziening,Alignment NLCS-IMBOR​,
337,NLCS-IMBOR projectie: FC,OPEN,IMBOR; FC Funderingsconstructies,Alignment NLCS-IMBOR​,
338,NLCS-IMBOR projectie: FV,OPEN,IMBOR; FV faunavoorzieningen,Alignment NLCS-IMBOR​,
339,NLCS-IMBOR projectie: GC,OPEN,IMBOR; GC Grondkerende constructies,Alignment NLCS-IMBOR​,
340,NLCS-IMBOR projectie: GK,OPEN,IMBOR; GK Grondkeringen,Alignment NLCS-IMBOR​,
341,NLCS-IMBOR projectie: GR,OPEN,IMBOR; GR-Groen-inclusief-bomen,Alignment NLCS-IMBOR​,
342,NLCS-IMBOR projectie: GW,OPEN,IMBOR; GW-grondwerk,Alignment NLCS-IMBOR​,
343,NLCS-IMBOR projectie: HC,CLOSED,IMBOR; HC - houtconstructies,Alignment NLCS-IMBOR​,
344,NLCS-IMBOR projectie: HU,CLOSED,IMBOR; HU hulpconstructies,Alignment NLCS-IMBOR​,
345,NLCS-IMBOR projectie: IE,OPEN,IMBOR; IE-inrichtingselementen,Alignment NLCS-IMBOR​,
346,NLCS-IMBOR projectie: IV,OPEN,IMBOR; IV Installaties vaarweg,Alignment NLCS-IMBOR​,
347,NLCS-IMBOR projectie: IW,OPEN,IMBOR; IW installaties weg,Alignment NLCS-IMBOR​,
348,NLCS-IMBOR projectie: KC,CLOSED,IMBOR; KC Kunststofconstructies,Alignment NLCS-IMBOR​,
349,NLCS-IMBOR projectie: KG,OPEN,IMBOR; KG - Kadastrale informatie en grenzen,Alignment NLCS-IMBOR​,
350,NLCS-IMBOR projectie: KL,OPEN,IMBOR; KL kabels en leidingen,Alignment NLCS-IMBOR​,
351,NLCS-IMBOR projectie: KW,OPEN,IMBOR; KW kunstwerken,Alignment NLCS-IMBOR​,
352,NLCS-IMBOR projectie: MC,CLOSED,IMBOR; MC Mechanische constructies,Alignment NLCS-IMBOR​,
353,NLCS-IMBOR projectie: MO,OPEN,IMBOR; MO milieu en onderzoek,Inhoudelijke backlog,
354,NLCS-IMBOR projectie: MW,CLOSED,IMBOR; MW metselwerk,Alignment NLCS-IMBOR​,
355,NLCS-IMBOR projectie: OB,OPEN,IMBOR; OB Oeverbescherming,Alignment NLCS-IMBOR​,
356,NLCS-IMBOR projectie: OG,OPEN,IMBOR; OG-ondergrond,Alignment NLCS-IMBOR​,
357,NLCS-IMBOR projectie: OV,OPEN,IMBOR; OV Openbare verlichting,Alignment NLCS-IMBOR​,
358,NLCS-IMBOR projectie: RI,CLOSED,RI_riolering-en-GWSW; IMBOR,Alignment GWSW,
359,NLCS-IMBOR projectie: SC,CLOSED,IMBOR; SC staalconstructies,Alignment NLCS-IMBOR​,
360,NLCS-IMBOR projectie: VH,OPEN,IMBOR; VH - verhardingen,Alignment NLCS-IMBOR​,
361,NLCS-IMBOR projectie: VV,OPEN,IMBOR; VV verkeersmaatregelen vaarweg,Alignment NLCS-IMBOR​,
362,NLCS-IMBOR projectie: VW,OPEN,IMBOR; VW Verkeersmaatregelen Weg,Alignment NLCS-IMBOR​,
363,NLCS-IMBOR projectie: WH,OPEN,IMBOR; WH Waterhuishouding,Alignment NLCS-IMBOR​,
364,lijnstijlen markeringen in NLCS,CLOSED,Lijnen; VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
365,uri's digital building data gebruiken bij publicatie NLCS,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
366,feedback pilot dordrecht,CLOSED,Project <> Beheer,Gebruikersvragen,
367,Controleren nieuwe test-publicatie NLCS 5.0 in linked data,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
368,Mogen dezelfde objecten in meerdere hoofdgroepen voorkomen?,OPEN,Informatiemodel; dubbele objecttypen,Inhoudelijke backlog,
369,Waarom zijn laagnamen voor trottoirbanden hernoemd?,CLOSED,duplicate; VH - verhardingen; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
370,"Gebruikerswens: Waardelijsten met bewerkingen per object publiceren in de database, plus eigen uitbreidingen toestaan",OPEN,status&bewerking; eisen aan NLCS applicaties; organisatiebibliotheken; waardelijst-bewerkingen,Inhoudelijke backlog,
371,Ter consultatie: Voorstel extra statussen voor ondergrondse infra en voor overdracht van gegevens naar beheerpakketten,OPEN,RI_riolering-en-GWSW; Netbeheer; VRI; status&bewerking; eisen aan NLCS applicaties; KL kabels en leidingen; IV Installaties vaarweg; IW installaties weg; OV Openbare verlichting,Inhoudelijke backlog,
372,Gebruikersvraag NLCS gebruiken voor aanbouw sluisgebouw ,CLOSED,toepassingsvragen,Gebruikersvragen,
373,Linetypes markeringen zijn onjuiste verschaling,OPEN,VH - verhardingen; Opgenomen in voorstel 5.1 (MHT); extra review expertcommissie vereist; CAD interoperabiliteit,Inhoudelijke backlog,
374,"Symbool goot, wat is het nut?",CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
375,De tooling moet duidelijk aangeven met welke versie van de NLCS in de tooling wordt gewerkt.,CLOSED,eisen aan NLCS applicaties,NLCS release Vaststellen 5.02 als linked data​,
376,NLCS tooling: voor gebruiker tijdens tekenen duidelijk onderscheid gebruik standaard of eigen uitbreiding van de standaard,OPEN,eisen aan NLCS applicaties; organisatiebibliotheken,Inhoudelijke backlog,
377,"NLCS tooling, aanvullende bibliotheken / wijzigingen toestaan en uitwisselen",OPEN,eisen aan NLCS applicaties; organisatiebibliotheken,Inhoudelijke backlog,
378,"in de database symbolen hoofdgroepen maken voor elke hoofdgroep, ook als zitten er nog geen blocks in",CLOSED,Informatiemodel; Vastgesteld-in-EC,NLCS release Vaststellen 5.02 als linked data​,
379,Plot opmaak voorschrijven?,CLOSED,documentation; Vastgesteld-in-EC; CAD interoperabiliteit,Inhoudelijke issues Release 5.1,
380,over -SO,CLOSED,documentation; duplicate; Symbolen; Lijnen; Controversieel,Inhoudelijke issues Release 5.1,
381,Ontbrekend lijntype RO-BESCHERMDSTADSGEZICHT-SO,CLOSED,publicatie; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
382,Referentie naar ontbrekend lijntype met ID 685,CLOSED,publicatie; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
383,Referentie naar ontbrekend symbool SVH-OVERIG,CLOSED,publicatie; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
384,Gebruik standaardcoördinaten blocks?,CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
385,Onderwerpen verzamelen voor roadmap groeipad NLCS standaard naar samenhang met DSGO,OPEN,Inmetingen; meta-informatie; Project <> Beheer; tekeningen-valideren; thesaurus NLCS; RAW-NLCS; CAD<>GIS datatransformaties; eisen aan NLCS applicaties; GroeipadDSGO/NLCS; Ontologie; groeperingen; objectattributen; ILS-tekening; 3D: IFC+Classificatie; arcering-met-achtergrondkleur; uitwisselformaat; 3D softwaretemplates; organisatiebibliotheken; waardelijst-bewerkingen; discipline-ter-discussie,Inhoudelijke backlog,
386,Symbool hondentoilet,CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
387,"GRONDWERKLIJNEN, onvolledig en kleuren",CLOSED,GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
388,SWA symbolen in database,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
389,Inconsequente halfsteensverband symbolen,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
390,"lagen in symbolen, maatvoeringen, multileaders",CLOSED,documentation; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
391,Gebruikersvraag NLCS en GWSW,CLOSED,RI_riolering-en-GWSW; implementatie,Gebruikersvragen,
392,Use case beschrijven vocabulaire NLCS,OPEN,thesaurus NLCS; Ontologie,Alignment NLCS-IMBOR​,
393,Use case uitwerken core-borius vergelijking IMBOR-NLCS,OPEN,IMBOR; Ontologie,Alignment NLCS-IMBOR​,
394,"442 arceringen in sql, 5 vervallen, maar 435 in query-output van publicatie. Waar zijn de laatste 2?",CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
395,De laatste 3 hoofdgroepen ontbreken in de publicatie?,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
396,"Query hoofdgroep VW, niet alle statussen hebben lijnkleuren enzovoorts",CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
397,Moet NLCS handvaten bieden voor gebruik NLCS in contracten?,OPEN,implementatie; ILS-tekening,Inhoudelijke backlog,
398,Enkele Objecten linkeddata publicatie zitten in de verkeerde hoofdgroep omdat er in de sql database een kind-van relatie zat met andere hoofdgroep,CLOSED,VH - verhardingen; BV bermbeveiligingsvoorziening; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
399,"Verkorte query maken voor objecten per hoofdgroep, zonder URI's en zonder relaties naar arceringen en symbolen",CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
400,Lijnweight/lijnkleur met ID -1 niet geïmporteerd?,CLOSED,documentation; publicatie,NLCS release Vaststellen 5.02 als linked data​,
401,laag OPENVERHARDING_STRAATBAKSTEEN-OP DE KOP,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
402,"lagen voor REPARATIES, HERSTRATEN, KNIPLIJN, VERKANTING",CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
403,Verzoek vanuit Netbeheerders: afspreken korte termijn oplossing voor uitwisseling alfanumerieke data bij objecten,OPEN,Netbeheer; objectattributen,Inhoudelijke backlog,
404,"WH, missende lijnkleuren et cetera",CLOSED,publicatie; WH Waterhuishouding,NLCS release Vaststellen 5.02 als linked data​,
405,Verschil naamgeving symbool en arcering RIET / RIETLAND,CLOSED,GR-Groen-inclusief-bomen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
406,formaten bij verhardingcellen,CLOSED,duplicate; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
407,Objecten FV afwijkende kleurcode,CLOSED,FV faunavoorzieningen,NLCS release Vaststellen 5.02 als linked data​,
408,"Keerwand, afwijkende B color V",CLOSED,GK Grondkeringen,NLCS release Vaststellen 5.02 als linked data​,
409,"Objecten GR, afwijkende kleurcodes",CLOSED,GR-Groen-inclusief-bomen,NLCS release Vaststellen 5.02 als linked data​,
410,"GW, afwijkende kleurcodes",CLOSED,GW-grondwerk,NLCS release Vaststellen 5.02 als linked data​,
411,"IE, afwijkende kleurcodes",CLOSED,IE-inrichtingselementen,NLCS release Vaststellen 5.02 als linked data​,
412,"KG, afwijkende kleurcodes",CLOSED,KG - Kadastrale informatie en grenzen,NLCS release Vaststellen 5.02 als linked data​,
413,instructie schrijven over interpretatie relaties imbor-nlcs mapping: waar mag je wat voor gebruiken?,CLOSED,IMBOR,Alignment NLCS-IMBOR​,
414,"connecten met sparql-endpoint via typescript, assure platform",CLOSED,documentation; implementatie,NLCS release Vaststellen 5.02 als linked data​,
415,Lijntypes hagen kloppen niet,CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
416,Nalopen diverse 'vervallen' lijntypes,CLOSED,RI_riolering-en-GWSW; BC betonconstructies; VH - verhardingen; OG-ondergrond; VW Verkeersmaatregelen Weg; ZZ_voor alle hoofdgroepen; KG - Kadastrale informatie en grenzen; KL kabels en leidingen; MC Mechanische constructies; MO milieu en onderzoek; OB Oeverbescherming; OV Openbare verlichting; WH Waterhuishouding; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
417," 'Betonrug', 'stelspecie', 'steunrug', 'stampbeton'",CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
418,"Object ZZ-GRENS in relatie tot hoofdgroen KG, diverse onduidelijke objecten in KG",CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
419,"wat betekent 'lijngroep35', als eigenschap van lijnweigths?",CLOSED,documentation,NLCS release Vaststellen 5.02 als linked data​,
420,query objects en objects verkort aanpassen / of is responstijd hub te groot? ,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
421,Object HULPLIJN als wildcard in NLCS,CLOSED,eisen aan NLCS applicaties; extra review expertcommissie vereist,Inhoudelijke issues Release 5.1,
422,Vreemde toelichting bij 5.1.5.d,CLOSED,documentation; eisen aan NLCS applicaties; extra review expertcommissie vereist,Inhoudelijke issues Release 5.1,
423,conversietabel lijndiktes microstation opnemen in de database; query maken en tabel publiceren ,CLOSED,Lijnen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
424,Documenteren eisen aan NLCS applicaties bij NLCS 5.0,CLOSED,eisen aan NLCS applicaties,NLCS release Vaststellen 5.02 als linked data​,
425,Toegevoegde waarde 'BIJLAGE 2' van de FB?,CLOSED,documentation; groeperingen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
426,Metadata opnemen in database en eis aan applicaities: deze aanbieden,OPEN,Informatiemodel; meta-informatie; eisen aan NLCS applicaties,Inhoudelijke backlog,
427,Hoofdgroep KL => Combikabel,CLOSED,KL kabels en leidingen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
428,PUTDEKSELHOOGTE <> PUTDEKSELNIVEAU,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
429,viewer maken van 5.02 en concept 5.1,OPEN,publicatie,Inhoudelijke backlog,
430,Controle Shape bestand - Deze functie controleert het voorkomen in de NLCS lijntypes van shapes uit een te selecteren NLCS shape bestand - ????,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
431,Gebruikersvraag GWSW mapping; stelseltype Rioolstelsel niet beschikbaar in mapping,OPEN,RI_riolering-en-GWSW; CAD<>GIS datatransformaties,Inhoudelijke backlog,
432,Publiceren Database definitief NLCS versie 5.0.2 LinkedData,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
433,Monitoren publicatie 5.1,OPEN,publicatie,Inhoudelijke issues Release 5.1,
434,Scope imbor-nlcs,CLOSED,IMBOR,Alignment NLCS-IMBOR​,
435,3.5.3.g fout in omschrijving,CLOSED,Lijnen,Inhoudelijke issues Release 5.1,
436,"Tabellen ""contract' (buitenruimte en constructies) en tabel hoofdgroep-contract niet in linked database",CLOSED,duplicate; Informatiemodel; groeperingen,NLCS release Vaststellen 5.02 als linked data​,
437,"tabel ""object view"" uit sql database: is dat planvorming?",CLOSED,Informatiemodel; eisen aan NLCS applicaties,NLCS release Vaststellen 5.02 als linked data​,
438,"formele beschrijving 5.1.3 buitenruimte, constructies publiceren als groep in database",OPEN,documentation; Informatiemodel; eisen aan NLCS applicaties; groeperingen,Inhoudelijke backlog,
439,"SHX bestand opschonen, niet in database staande shapes verwijderen",CLOSED,documentation; publicatie,Inhoudelijke backlog,
440,inritblok moet vervangen door term inritband,CLOSED,VH - verhardingen; Voorgenomen wijziging,Inhoudelijke issues Release 5.1,
441,VH-KANTOPSLUITING_ELEMENT,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
442,Vragen en antwoorden uit de chat van het Webinar IMBOR - NLCS 23 mei 2024,CLOSED,IMBOR,Gebruikersvragen,
443,NLCS Verkeersborden: tabel en symbolen leveren voor advies Expertcommissie,CLOSED,VW Verkeersmaatregelen Weg; Vastgesteld-in-EC; Release note,Release Verkeersborden in NLCS 5.1,"De NLCS bibliotheek is aangevuld met de meest voorkomende verkeersborden uit het [Reglement verkeersregels en verkeerstekens 1990 (RVV 1990)](https://wetten.overheid.nl/BWBR0004825), Categorie A t/m J.. In overleg met de Expertcommissie zijn daarbij de volgende spelregels gebruikt voor de symbolen. ,
1. Om de ketenuitwisseling van objectinformatie te kunnen ondersteunen naar bijvoorbeeld het George-dataportaal van het NDW zijn attribuutsymbolen toegevoegd voor vrije teksten met tag: textSigns (Locatie per bord verschillend). 
2. Ook zijn algemene attributen toegevoegd aan alle symbolen:
- tag: ID
- tag: PLACEMENT
- visibility; not visible
- Locatie: 0,0 BL en TL
3. Schaal en tekstgebruik zijn doorgevoerd conform de technische documentatie van de standaard met toepassen van de “kale” NLCS‑RVV tekststijl."
444,"Lijntype element GD opnemen in database, om te kunnen varieren",OPEN,Lijnen; eisen aan NLCS applicaties; gemak gebruiker,Inhoudelijke backlog,
445,"SO-voorstel voor lijnen, arceringen en symbolen & tekstuele opschoning functionele beschrijving",OPEN,Symbolen; Lijnen; Arceringen; eisen aan NLCS applicaties; SO schaalbare objecten; extra review expertcommissie vereist; CAD interoperabiliteit,Technische issues voor NLCS 5.1,
446,Aanvullende rioleringssymbolen,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
447,"Dynamische blocks, verschil AutoCAD/Microstation",OPEN,Symbolen; dynamische symbolen,Inhoudelijke backlog,
448,"Toelichting opnemen in documentatie over mappings BGT/Stedelijk water: wel in standaard, geen eis aan NLCS applicatie",CLOSED,documentation; RI_riolering-en-GWSW; BGT; eisen aan NLCS applicaties,Inhoudelijke issues Release 5.1,
449,(Tijdelijke) Verkeersborden: gebruikerswens dynamische verkeersborden / parametrische input ,CLOSED,objectattributen; dynamische symbolen,Gebruikersvragen,
450,Tekenstatussen NLCS uitbreiden om doorvoeren van mutaties in asset databeheer te kunnen automatiseren bij overdracht project - Beheer,OPEN,Project <> Beheer; status&bewerking,Inhoudelijke backlog,
451,"Opnemen disciplines in database, als tabel publiceren en dan tabel uit FB weghalen",CLOSED,disciplines,Inhoudelijke issues Release 5.1,
452,Gebruikersvraag: Kleuren asfaltarceringen & haaietanden in versie 5.0,CLOSED,VH - verhardingen,Gebruikersvragen,
453,"Default values G field KLEUR in diverse dwg block verhardingsymbolen, kunnen deze worden verwijderd.",CLOSED,VH - verhardingen; extra review expertcommissie vereist,Inhoudelijke issues Release 5.1,
454,"verhardingssymbolen bevatten soms een vulling, is dit bewust of een fout in het betreffende symbool. ",CLOSED,VH - verhardingen,,
455,"Check: de aanduiding van t ELEMENT G - S - A in de database is overbodig, want is al duidelijk doordat er een symbool of arcering beschikbaar is",CLOSED,extra review expertcommissie vereist; CAD-elementen,Inhoudelijke issues Release 5.1,
456,Details voertuigen,OPEN,AL - Algemeen,Inhoudelijke backlog,
457,"Hoofdgroep BV laten vervallen, onderbrengen onder IE",OPEN,IE-inrichtingselementen; BV bermbeveiligingsvoorziening,Inhoudelijke backlog,
458,RI-VACUUMLEIDING onderdeel maken van DWA/GWA en RI-PERSLEIDING onderdeel maken van stelsels?,CLOSED,RI_riolering-en-GWSW,Inhoudelijke backlog,
459,Heroverweging verschil in visualisatie ELEMENTEN,OPEN,CAD-elementen,Inhoudelijke backlog,
