number,title,state,labels,milestone,release_notes
563,Terugtrekken aanvulling werkgroep stedelijk spoor in hoofdgroep KG,CLOSED,Stedelijk Spoor; KG - Kadastrale informatie en grenzen,Release Stedelijk Spoor​ Tram in NLCS 5.1,
564,Terugtrekken aanvulling werkgroep stedelijk spoor in hoofdgroep KL,CLOSED,Stedelijk Spoor; KL kabels en leidingen,,
565,AS_SPOOR_TRAM_ONTWERP versus NLCS-STATUS ontwerp,CLOSED,Stedelijk Spoor; AM assen en metrering,Release Stedelijk Spoor​ Tram in NLCS 5.1,
566,AS_SPOOR_TRAM_AFWIJKING_ONBEKEND,CLOSED,Stedelijk Spoor; AM assen en metrering,Release Stedelijk Spoor​ Tram in NLCS 5.1,
567,DUBBEL ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_ DUBBEL EN ENKEL zijn dubbel,CLOSED,Stedelijk Spoor; ES - energievoorziening spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
568,"ES Mast N 0.25, alle andere tram masten 0.50?",CLOSED,Stedelijk Spoor; ES - energievoorziening spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
569,"ES spandraad, onderliggende geen lijntype spandraad?",CLOSED,Stedelijk Spoor; ES - energievoorziening spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
570,"SB bewerkingen, streepje of underscore",CLOSED,Stedelijk Spoor; SB spoorbouw,Release Stedelijk Spoor​ Tram in NLCS 5.1,
571,OVL voorstel,OPEN,OV Openbare verlichting,Inhoudelijke backlog,
572,"Input voor discussie met EC: NLCS versimpelen, en beter gebruik mogelijk maken?",OPEN,dynamische symbolen; CAD interoperabiliteit,Inhoudelijke backlog,
573,SB lijntype N heet V-SB-OMGRENZINGSPROFIEL_DYNAMISCH-SO?,CLOSED,Stedelijk Spoor; SB spoorbouw,Release Stedelijk Spoor​ Tram in NLCS 5.1,
574,input SVW vanuit stedelijk spoor overbodig,CLOSED,Stedelijk Spoor; VW Verkeersmaatregelen Weg,Release Stedelijk Spoor​ Tram in NLCS 5.1,
575,NLCS 5.1 project grens (KG),CLOSED,KG - Kadastrale informatie en grenzen,Inhoudelijke issues Release 5.1,
576,SAM-AS,CLOSED,Stedelijk Spoor; AM assen en metrering,Release Stedelijk Spoor​ Tram in NLCS 5.1,
577,Opheldering procedure advies door Expertcommissie,OPEN,BOMOS,Inhoudelijke backlog,
578,"assen spoor metro, trein et cetera ook lijntype as spoor?",CLOSED,Stedelijk Spoor; AM assen en metrering,Release Stedelijk Spoor​ Tram in NLCS 5.1,
579,"damwand staal directe relatie met alle symbolen,",CLOSED,GC Grondkerende constructies,Inhoudelijke issues Release 5.1,
580,Query objecten op hoofdgroep ES werkt niet / duurt heel lang,CLOSED,publicatie,Inhoudelijke issues Release 5.1,
581,"Acceptance, test en def? omgeving NLCS weer correct koppelen aan beheeromgeving",OPEN,publicatie,Inhoudelijke backlog,
582,"GW bewerkingen ""werk"" en ""grondwerk"" door elkaar",CLOSED,GW-grondwerk,Inhoudelijke issues Release 5.1,
583,"stadswarmte input, check expertcommissie op inpassen in NLCS",CLOSED,KL kabels en leidingen,Inhoudelijke issues Release 5.1,
584,"Symbolen: groepsnaam versus koppeling individueel, gaat niet goed in publicatie of query",CLOSED,GR-Groen-inclusief-bomen; publicatie,Inhoudelijke issues Release 5.1,
585,symbolen houtopstand ten onrechte verwijderd uit database,CLOSED,GR-Groen-inclusief-bomen,Inhoudelijke issues Release 5.1,
586,"SIS symbolen, vraag over welke laagnaam",CLOSED,Stedelijk Spoor; Symbolen; IS installaties spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
587,symbolen svh-inrichtelement wijzigen naar kantopsluiting-inritband,CLOSED,VH - verhardingen,Inhoudelijke issues Release 5.1,
588,missende symbolen VH,CLOSED,VH - verhardingen,Inhoudelijke issues Release 5.1,
589,check op harde returns in database bij AVH-SBS_DIKFORMAAT_HALFST,CLOSED,VH - verhardingen,Inhoudelijke issues Release 5.1,
590,sommige nieuwe symbolen hebben bij het importeren per ongeluk naam met .dwg gekregen,CLOSED,Symbolen,Inhoudelijke issues Release 5.1,
591,groepen in symbolen SMO missen,CLOSED,MO milieu en onderzoek,Inhoudelijke issues Release 5.1,
592,"symbolen KL onbekende oorsprong, plek?",CLOSED,KL kabels en leidingen,Inhoudelijke issues Release 5.1,
593,KL SYMBOLEN DATA EN ET niet goed gegroepeerd in database,OPEN,KL kabels en leidingen,Inhoudelijke backlog,
594,"ES mast, lijntype?",CLOSED,Stedelijk Spoor; ES - energievoorziening spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
595,symbolen groen houtopstand ten onrechte verwijderd uit concept 5.1,CLOSED,GR-Groen-inclusief-bomen,Inhoudelijke issues Release 5.1,
596,SB-BOVENBOUW_SCHOUWPAD lijntype,CLOSED,Stedelijk Spoor; SB spoorbouw,Release Stedelijk Spoor​ Tram in NLCS 5.1,
597,BOVENBOUW_SPOORCONSTRUCTIE_OPENSLOPEN VOOR AANSLUITING v COLOR gd 77?,CLOSED,Stedelijk Spoor; SB spoorbouw,Release Stedelijk Spoor​ Tram in NLCS 5.1,
598,KL missende groeperingen in database,CLOSED,KL kabels en leidingen,Inhoudelijke issues Release 5.1,
599,SOV missende groeperingen,CLOSED,OV Openbare verlichting,Inhoudelijke issues Release 5.1,
600,Element toevoeging 'Schaal' voor Geometrie,OPEN,CAD-elementen,Inhoudelijke backlog,
601,"review op functionele specificatie, verwijzing naar informatieleveringsstandaarden",CLOSED,documentation; ILS-tekening,Inhoudelijke issues Release 5.1,
602,"review op functionele specificatie, rol individuele bibliotheken",CLOSED,documentation,Inhoudelijke issues Release 5.1,
603,Review op functionele specificatie 5.1: NLCS-versie van voorbeeldtekeningen,OPEN,documentation; implementatie,Inhoudelijke backlog,
604,"Review functionele specificatie, multileaderstijlen",CLOSED,documentation,Inhoudelijke issues Release 5.1,
605,Documentmanagement voor symbolen,OPEN,Symbolen; publicatie,Technische backlog,
606,"Wijziging in beheerproces: beheerst ontwikkelen, technische commissie",CLOSED,BOMOS,Inhoudelijke issues Release 5.1,
607,afspraken logo NLCS in NLCS-applicaties,OPEN,documentation,Inhoudelijke backlog,
608,"Werkgroep Spoor, Heavy Rail",OPEN,Stedelijk Spoor; SB spoorbouw,Backlog Stedelijk Spoor,
609,"Gebruikersvraag nlcs-leverancier, feedback op 5.01 en 5.1",CLOSED,implementatie,Technische issues voor NLCS 5.1,
610,"vergelijking 5.0 sql met 5.01 linked data: Inhoud 'arcering' is verschillend , heeft gevolgen",CLOSED,publicatie,Technische issues voor NLCS 5.1,
611,"Vergelijking 5.0 met 5.01 Inhoud 'vkrl_lang' is anders, kan gevolgen hebben",CLOSED,publicatie,Technische issues voor NLCS 5.1,
612,"Vergelijking 5.0 en 5.01: 'autocaddef' is verschillend, kan gevolgen hebben",CLOSED,publicatie,Technische issues voor NLCS 5.1,
613,verwerken in documentatie: toegang sparql-endpoint,CLOSED,documentation,Inhoudelijke issues Release 5.1,
614,"Gebruikersvraag lintypen, arceringen en symbolen",CLOSED,,,
615,Toevoegen ID nummers aan release 5.1,CLOSED,publicatie,Inhoudelijke issues Release 5.1,
616,BOVENBOUW_MVP_S+T WERKZAAMHEDEN wordt hier een werkzaamheid bedoeld?,OPEN,SB spoorbouw,Inhoudelijke backlog,
617,Gebruikersvraag zwart-wit,CLOSED,kleuren,Inhoudelijke backlog,
618,Twee modelleringsmethodes lijnkleuren,OPEN,kleuren,Technische backlog,
619,Review funtionele sepc 5.1: discussie verplicht maken visuele representatie,OPEN,tekenvrijheid,Inhoudelijke backlog,
620,Vraag toegang en performance linked data platform,CLOSED,implementatie; publicatie,Technische issues voor NLCS 5.1,
621,uitleg dynamische en statische url's endpoint,CLOSED,implementatie; publicatie,Inhoudelijke backlog,
622,Beter regelen mutatiestructuur releases NLCS,CLOSED,BOMOS,Technische issues voor NLCS 5.1,
623,Onderzoeksvragen technische commissie release 5.1,OPEN,implementatie,Technische issues voor NLCS 5.1,
624,twee lijntypes zonder ID,CLOSED,Lijnen,Inhoudelijke issues Release 5.1,
625,Groeperen symboolnamen VW,CLOSED,publicatie; VW Verkeersmaatregelen Weg,Technische issues voor NLCS 5.1,
626,bewerking in de objectentabellen-query,CLOSED,publicatie,Technische issues voor NLCS 5.1,
627,foutje in laagnaam DWA_TRANSPORTLEIDING-O PHOOGTE BRENGEN,CLOSED,RI_riolering-en-GWSW; publicatie,Inhoudelijke issues Release 5.1,
628,Gebruikersvraag landschapsarchitect,CLOSED,implementatie,Gebruikersvragen,
629,Gebruikersvraag: Coderingen met omschrijving,CLOSED,thesaurus NLCS,Gebruikersvragen,
