;;; File   : RTW_rtwbreed_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: Tabel met alle RTW lagen tbv RTW toolbox discipline: rtwbreed

Posities:
POS_AANTLAAGNAAM   140
POS_LAAGNAAM       5
POS_LW_BS          45
POS_KL_BS          50
POS_LT_BS          60
POS_LW_NW          75
POS_KL_NW          80
POS_LT_NW          90
POS_LW_VW          105
POS_KL_VW          110
POS_LT_VW          120
POS_OMSCHR         140


    5                                       45   50        60             75   80        90             105  110       120                 140

*Afscheidingen                                                                                                                             21 
23  gk-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Grondonderzoek                                                                                                                            22 
1   go-baken                                18   173       continuous     35   170       continuous     35   170       continuous          Baken
2   go-boring                               18   173       continuous     35   170       continuous     35   170       continuous          Boring
3   go-kunstwerk                            18   173       continuous     35   170       continuous     35   170       continuous          Kunstwerk
4   go-onderzgeb                            18   173       continuous     35   170       continuous     35   170       continuous          Onderzoeksgebied
5   go-peilbuis                             18   173       continuous     35   170       continuous     35   170       continuous          Peilbuis
6   go-sondering                            18   173       continuous     35   170       continuous     35   170       continuous          Sondering
7   go-verharding                           18   173       continuous     35   170       continuous     35   170       continuous          Verharding
8   go-verontr                              18   173       continuous     35   170       continuous     35   170       continuous          Verontreiniging
9   go-watergang                            18   173       continuous     35   170       continuous     35   170       continuous          Watergang
10  go-contour_z                            18   8         continuous     35   7         continuous     35   7         continuous          Algemeen-contouren zichtbaar
11  go-contour_nz                           18   8         rtwdashed50    35   7         rtwdashed50    35   7         rtwdashed50         Algemeen-contouren niet zichtbaar
12  go-hartlijn                             18   13        rtwcenter50    18   10        rtwcenter50    18   10        rtwcenter50         Algemeen-hartlijnen
13  go-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Algemeen-afbreeklijnen
14  go-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-Hulpgeometrie
15  go-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
16  ------------------------------------------
17  go-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
18  go-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
19  go-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
20  go-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
21  go-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
22  go-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Grondwerk                                                                                                                                 26 
1   gw-aanvullen                            18   8         continuous     35   7         continuous     35   7         continuous          Aanvullen
2   gw-baggerv                              18   8         continuous     35   7         continuous     35   7         continuous          Baggervakken
3   gw-bodemwatergang                       18   133       continuous     35   130       continuous     35   130       continuous          Bodem watergang
4   gw-grondwerklijn                        18   93        continuous     35   90        continuous     35   90        continuous          Grondwerklijn
5   gw-insteekwatergang                     18   93        continuous     35   90        continuous     35   90        continuous          Insteek watergang
6   gw-kruinlijn                            18   93        continuous     35   90        continuous     35   90        continuous          Grondwerklijn kruin
7   gw-niet_baggerv                         18   8         continuous     35   7         continuous     35   7         continuous          Niet Baggervakken
8   gw-niet_stortv                          18   8         continuous     35   7         continuous     35   7         continuous          Niet Stortvakken
9   gw-ontgraven                            18   8         continuous     35   7         continuous     35   7         continuous          Ontgraven
10  gw-piketlijn                            18   8         continuous     35   7         continuous     35   7         continuous          Piketlijn
11  gw-stortv                               18   8         continuous     35   7         continuous     35   7         continuous          Stortvakken
12  gw-taludarc                             18   93        continuous     35   90        continuous     35   90        continuous          Talud arcering
13  gw-teenlijn                             18   93        continuous     35   90        continuous     35   90        continuous          Grondwerklijn teen
14  gw-contour_z                            18   93        continuous     35   9         continuous     35   9         continuous          Algemeen-contouren zichtbaar
15  gw-contour_nz                           18   93        rtwdashed50    35   9         rtwdashed50    35   9         rtwdashed50         Algemeen-contouren niet zichtbaar
16  gw-hartlijn                             18   13        rtwcenter50    18   10        rtwcenter50    18   10        rtwcenter50         Algemeen-hartlijnen
17  gw-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Algemeen-afbreeklijnen
18  gw-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-Hulpgeometrie
19  gw-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
20  ------------------------------------------
21  gw-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
22  gw-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
23  gw-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
24  gw-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
25  gw-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
26  gw-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Kadastrale informatie / grenzen                                                                                                           45 
